[Shoot] 時間:  0.22s | 弾数:299/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  0.32s | 弾数:298/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  0.42s | 弾数:297/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  0.52s | 弾数:296/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  0.62s | 弾数:295/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  0.72s | 弾数:294/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  0.82s | 弾数:293/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  0.92s | 弾数:292/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.02s | 弾数:291/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.12s | 弾数:290/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.22s | 弾数:289/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.30s | 弾数:288/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  1.38s | 弾数:287/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  1.47s | 弾数:286/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.55s | 弾数:285/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.63s | 弾数:284/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.72s | 弾数:283/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.80s | 弾数:282/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.88s | 弾数:281/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  1.97s | 弾数:280/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  2.05s | 弾数:279/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  2.08s | 弾数:278/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.12s | 弾数:277/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  2.15s | 弾数:276/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.18s | 弾数:275/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.22s | 弾数:274/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.25s | 弾数:273/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.28s | 弾数:272/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.32s | 弾数:271/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  2.35s | 弾数:270/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.38s | 弾数:269/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  2.42s | 弾数:268/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.45s | 弾数:267/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.48s | 弾数:266/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.52s | 弾数:265/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.55s | 弾数:264/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.57s | 弾数:263/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.58s | 弾数:262/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.60s | 弾数:261/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.62s | 弾数:260/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.63s | 弾数:259/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.65s | 弾数:258/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.67s | 弾数:257/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.68s | 弾数:256/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.70s | 弾数:255/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.72s | 弾数:254/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.73s | 弾数:253/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.75s | 弾数:252/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.77s | 弾数:251/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.78s | 弾数:250/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Skill Dmg] 時間:  2.78s | 名前:S1: アンチA.T.フィールド (通常)     | Dmg:   120,579 | Hits:1 | Buffs:None
[Shoot] 時間:  2.80s | 弾数:249/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.82s | 弾数:248/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  2.83s | 弾数:247/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.85s | 弾数:246/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  2.87s | 弾数:245/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.88s | 弾数:244/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.90s | 弾数:243/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.92s | 弾数:242/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.93s | 弾数:241/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.95s | 弾数:240/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  2.97s | 弾数:239/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  2.98s | 弾数:238/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.00s | 弾数:237/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.02s | 弾数:236/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.03s | 弾数:235/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.05s | 弾数:234/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.07s | 弾数:233/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.08s | 弾数:232/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.10s | 弾数:231/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.12s | 弾数:230/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.13s | 弾数:229/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.15s | 弾数:228/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.17s | 弾数:227/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.18s | 弾数:226/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.20s | 弾数:225/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.22s | 弾数:224/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.23s | 弾数:223/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.25s | 弾数:222/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.27s | 弾数:221/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.28s | 弾数:220/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.30s | 弾数:219/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.32s | 弾数:218/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.33s | 弾数:217/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.35s | 弾数:216/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.37s | 弾数:215/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.38s | 弾数:214/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.40s | 弾数:213/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.42s | 弾数:212/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.43s | 弾数:211/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.45s | 弾数:210/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.47s | 弾数:209/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.48s | 弾数:208/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.50s | 弾数:207/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.52s | 弾数:206/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.53s | 弾数:205/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.55s | 弾数:204/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.57s | 弾数:203/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.58s | 弾数:202/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.60s | 弾数:201/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.62s | 弾数:200/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Skill Dmg] 時間:  3.62s | 名前:S1: アンチA.T.フィールド (通常)     | Dmg:   120,579 | Hits:1 | Buffs:None
[Shoot] 時間:  3.63s | 弾数:199/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.65s | 弾数:198/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.67s | 弾数:197/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.68s | 弾数:196/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.70s | 弾数:195/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.72s | 弾数:194/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.73s | 弾数:193/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
